date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Los Angeles County,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,New York city,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1976/11/1,106890,14464,94767,59206,937548,80758,124291,24327,29250,329085,186869,35671,22076,330666,143179,54058,45037,77628,305031,106435,42773,130183,245995,361282,110187,65265,140552,20360,22506,29188,25836,352977,44680,784667,337736,165690,11779,357531,63952,105059,412840,38012,89892,11314,120622,332231,29120,17025,134124,154007,48314,117425,6927
1976/12/1,109269,14965,94464,59645,938342,82722,121799,24511,29308,329108,187496,35450,22525,325773,143612,54720,45471,77297,303810,106553,43483,130370,242750,360782,110884,66479,140233,20510,22561,29183,26002,354330,45158,781145,334599,168710,12050,357519,63568,105198,418151,38778,91385,11541,123174,335471,29402,16873,133293,156183,49175,118141,7010
1977/1/1,111744,15448,94358,60140,933537,84205,119224,24573,29198,328591,186306,35099,22853,321538,143239,55128,45675,77065,300833,106733,43834,129855,239488,358506,111116,67823,138687,20626,22650,28870,26118,353736,45013,776734,331444,169976,12309,354485,63626,104366,420779,39119,93118,11678,125141,337684,29642,16787,132694,157374,50051,118276,7057
1977/2/1,114021,15908,94173,60498,923674,84851,116403,24475,28967,327177,183029,34612,23026,318639,142545,55221,45592,76543,296291,106940,43753,128554,235749,354074,110732,69169,136642,20731,22839,28262,26067,350549,44324,768871,327473,169318,12536,348649,63957,102184,419559,39016,94633,11739,126147,336980,29755,16701,132357,157256,50559,117447,7035
1977/3/1,115764,16341,93645,60534,910094,84534,113266,24163,28709,324451,177928,33891,23124,317360,141782,55260,45209,75591,290816,106884,43291,126500,231327,348402,109719,70380,134874,20812,23111,27392,25761,344364,43372,755754,322255,167097,12720,340032,64077,98627,415327,38575,95140,11689,126087,332566,29703,16558,131876,155844,50551,115375,6915
1977/4/1,116734,16703,92784,60261,895460,83433,110003,23646,28539,320637,171835,32869,23230,317937,141268,55447,44613,74442,285522,106650,42558,123747,226620,343258,108119,71457,133797,20906,23444,26360,25207,335944,42286,738709,316656,164236,12855,329402,63764,94183,410224,37931,94394,11504,125036,325228,29533,16354,130904,153375,50136,112654,6701
1977/5/1,116663,16975,91605,59856,881611,81997,106857,22995,28476,316247,165628,31721,23377,320398,141113,55800,43988,73311,281197,106628,41662,120757,222019,339320,106105,72346,133346,21065,23865,25266,24492,326600,41109,720493,311746,161245,12963,318480,63036,89522,405802,37223,92718,11188,123159,317578,29268,16127,129643,150032,49547,110189,6442
1977/6/1,115591,17172,90154,59503,869805,80904,104077,22336,28476,311826,160334,30770,23557,324793,141272,56295,43471,72380,278117,107032,40750,118328,217886,337340,103864,73023,133383,21283,24454,24183,23716,317702,39905,704514,308539,158744,13055,308938,61898,85136,402599,36536,90730,10814,120965,312758,28958,15926,128732,146463,49001,108426,6205
1977/7/1,113698,17262,88519,59307,859736,80106,101680,21775,28456,307493,156418,30263,23735,329678,141998,56648,43017,71795,275961,108179,39915,116708,214161,336961,101445,73344,133181,21564,25111,23147,22963,309790,38883,692511,307090,156661,13097,301960,60272,81524,400271,35924,89049,10454,119283,311999,28658,15786,128632,142733,48760,107303,6053
1977/8/1,111439,17340,86480,59375,850552,80052,99566,21331,28360,303102,153643,30184,23798,333754,143457,56620,42411,71986,274106,110344,39168,115868,210637,336819,98999,73401,132140,21857,25722,22134,22280,302732,37997,684599,306842,154989,13097,297597,57969,78842,398303,35349,87940,10199,118562,314533,28288,15718,129302,138842,49053,107088,5965
1977/9/1,109132,17531,84033,59618,841050,80727,97421,20935,28164,298241,151065,30286,23630,336667,144766,56165,41581,73015,271945,113447,38390,115379,206828,335091,96394,73234,130378,22080,26259,21130,21624,295793,37023,678393,306881,153576,13066,293882,55392,76614,396113,34720,86973,10050,118286,318329,27779,15661,130321,134581,49432,107690,5904
1977/10/1,106955,17885,81132,59867,830891,81481,94944,20546,27834,292639,147772,30390,23234,338291,145302,55476,40686,74479,269264,117107,37419,115156,202273,330241,93298,72710,128456,22224,26768,20112,20930,287969,35832,670802,305824,151439,12969,289003,53217,74290,393552,33972,85526,9922,117848,321465,27159,15548,131265,129961,49577,108339,5884
1977/11/1,105161,18389,77919,59981,821459,81969,92192,20217,27433,286688,143737,30387,22715,338912,145832,55023,39869,75986,266447,120750,36232,115304,197124,322490,89680,72035,127115,22313,27299,19101,20192,279355,34491,661017,302990,147826,12817,283883,51727,71855,391034,33089,83381,9793,117159,322772,26524,15350,131958,125515,49698,108533,5877
1977/12/1,103812,18963,74717,59835,814451,82022,89438,19958,27068,281057,139567,30243,22217,339582,146551,55087,39177,77226,264176,123831,34978,115718,191904,313468,85968,71486,126406,22324,27683,18187,19459,270900,33349,650223,298790,143233,12650,279809,50850,69654,388974,32121,80730,9652,116375,321812,25948,15070,132467,122026,49598,108522,5830
1978/1/1,102705,19499,71576,59317,809147,81694,86778,19717,26748,275741,135685,29910,21790,339865,146882,55460,38437,77877,262469,125659,33701,115727,186808,304181,82494,71006,125268,22161,27619,17352,18734,263291,32564,638997,293465,138203,12461,276523,49984,67887,386253,31177,77906,9487,115351,318484,25337,14710,132605,119724,48977,108089,5748
1978/2/1,101691,19886,68901,58583,805631,81079,84403,19516,26520,271494,132868,29495,21470,339084,146657,55876,37513,78028,261396,125930,32433,115244,182290,296039,79633,70663,123198,21820,27004,16628,18101,257421,32084,628809,287840,133126,12270,273925,48780,66953,382495,30287,75700,9372,114194,313685,24609,14331,132385,118511,47751,107324,5681
1978/3/1,100707,20055,66733,57845,803923,80238,82516,19435,26413,269083,131920,29233,21317,337529,145792,55883,36452,77942,260506,124559,31348,114644,178756,290747,77670,70576,120335,21396,25954,16078,17635,253804,31866,621220,282678,128642,12102,272409,47093,66963,377920,29449,74918,9441,113272,308752,23725,14010,132065,118320,46154,106715,5674
1978/4/1,99999,20038,64686,57273,802084,79163,81085,19476,26352,268138,132992,29280,21407,335098,144379,55199,35322,77791,258661,121847,30613,114084,176049,288697,76561,70594,116954,20962,24591,15724,17298,251954,31965,616177,278241,125198,11964,271958,44779,67745,372648,28746,75552,9698,113010,304533,22697,13751,131834,119040,44741,106393,5752
1978/5/1,99851,19890,62839,57085,798320,77790,80012,19578,26260,268026,135471,29589,21739,331790,142797,54022,34184,77926,255128,118377,30292,113570,173943,289207,76139,70532,113452,20540,23049,15581,17041,251105,32296,612963,274891,123090,11861,271942,42022,69251,367850,28207,76928,10054,113718,301533,21682,13531,131564,120440,43999,106458,5908
1978/6/1,100309,19646,61384,57351,790513,75926,79049,19643,26062,267694,138068,29892,22200,327283,141412,52681,33145,78366,249609,114759,30228,112841,171945,290728,75995,70005,110142,20145,21480,15626,16790,250102,32639,609383,272279,122046,11804,271420,39399,71297,364319,27828,77973,10376,114959,299880,20824,13323,130976,121673,44020,106852,6084
1978/7/1,101648,19425,60588,58030,779617,73973,78233,19650,25764,266849,139924,29985,22736,322760,140677,51932,32497,79128,243010,111509,30320,112450,170139,292894,76022,69048,107578,19804,20251,15836,16504,248786,32888,604482,270209,121958,11881,270327,37712,73541,362979,27573,77932,10602,116121,300544,20275,13142,130276,122897,44721,108027,6245
1978/8/1,103699,19244,60831,58964,768403,72089,77743,19654,25488,266206,141002,29840,23320,319011,140798,52176,32445,80107,236778,108635,30505,112818,168834,295742,76192,67907,105655,19571,19577,16189,16160,247528,33043,599013,268754,122093,12068,269941,37339,75939,363684,27469,76967,10713,116984,302831,20189,13021,130019,124388,45907,110054,6379
1978/9/1,105931,19027,61996,59927,757960,70451,77610,19649,25309,265961,141276,29493,23887,315205,141640,53171,32874,80977,231666,105880,30699,113977,167980,298612,76439,66591,103808,19416,19343,16602,15773,246391,33231,592904,267399,121797,12271,271357,37950,78583,365512,27509,75492,10721,117624,304549,20505,12974,130308,125953,47289,112120,6420
1978/10/1,108062,18773,63614,60779,748737,69525,77835,19633,25251,266039,140975,28943,24397,311468,142908,54488,33486,81663,227855,103262,30945,115531,167544,301476,76701,65245,101728,19244,19276,17015,15410,245942,33602,586782,266202,121890,12455,274661,38943,81238,367273,27599,73858,10682,117622,303795,20977,12981,130794,127583,48391,113261,6303
1978/11/1,109954,18463,65093,61460,740645,69121,78340,19660,25293,266216,140298,28277,24868,308230,144161,55749,34089,82390,225052,101138,31286,117255,167354,304955,77082,63975,99580,19082,19183,17411,15130,246228,34222,581051,265217,122832,12595,279131,40013,83683,368461,27748,72468,10685,116548,300056,21413,13014,131005,129148,48973,113082,6078
1978/12/1,111632,18111,65810,61915,733440,68954,79004,19774,25363,266036,139200,27656,25295,305449,145325,56714,34563,83310,222614,99796,31771,119099,167176,309163,77803,62625,98001,18995,19182,17769,14921,246716,34924,575446,264254,124659,12721,283906,40830,85592,369210,28003,71678,10801,115002,294668,21756,13048,130530,130581,49311,111592,5792
1979/1/1,113237,17725,65509,62046,726457,68525,79660,19935,25348,264898,137590,27180,25591,302987,146352,57271,34797,84265,219756,99486,32359,120731,166740,313407,78901,61222,97483,18983,19370,18126,14722,246991,35535,569971,263603,127116,12852,287844,41229,86555,369557,28302,71264,11000,113886,288916,22107,13023,129167,131600,49651,109015,5482
1979/2/1,114681,17346,63907,61814,717924,67533,80031,20035,25100,262117,135183,26821,25638,300373,147092,57394,34806,84981,215753,100403,32909,121533,165512,315978,80156,59728,97650,19021,19657,18506,14437,246228,35937,564643,263467,129579,12920,289967,41151,86358,369205,28640,70506,11137,113631,283779,22616,12862,126824,131810,50276,105894,5213
1979/3/1,115994,16995,61326,61381,707508,66242,79905,19977,24557,257806,131951,26499,25372,296271,148229,57234,34689,85432,210848,102842,33229,121446,163210,316408,81357,57978,98350,19063,20003,18893,14026,244585,36079,559841,263976,131272,12890,290599,40781,85401,368061,29000,69002,11105,114282,280484,23387,12561,123827,130902,51230,102790,5029
1979/4/1,117258,16688,58648,61065,697831,65098,79417,19779,23814,253124,128296,26109,24891,291114,150704,57158,34662,85887,206240,106836,33279,121171,160314,316347,82629,56327,99967,19099,20501,19275,13586,243023,36067,556933,265230,132167,12780,290776,40474,84336,367123,29276,67043,10939,115774,280024,24455,12219,120848,129350,52328,100436,4980
1979/5/1,118591,16481,56373,60990,691611,64480,78877,19542,23033,249136,124963,25525,24401,286749,155142,57335,34934,86580,202854,111767,33181,121201,157486,318302,84066,55304,102530,19149,21201,19619,13244,242325,36088,557036,266838,132783,12607,291524,40369,83542,367316,29407,65313,10747,117648,281859,25711,11935,118576,128072,53504,99390,5089
1979/6/1,120069,16418,54886,61191,690477,64703,78608,19380,22376,246468,122462,24873,24090,285128,161516,57872,35491,87679,201066,116864,33100,121736,155326,323542,85737,55310,105832,19230,21994,19938,13144,243133,36268,560744,268354,133658,12422,293800,40423,83313,369408,29425,64544,10611,119645,284800,26954,11772,117421,127709,54846,99958,5310
1979/7/1,121340,16479,54207,61463,692861,65623,78621,19325,21856,244575,120763,24271,24016,287061,169103,58701,36101,89004,200174,121086,33064,122287,153788,331411,87496,56152,109506,19271,22633,20154,13337,244858,36596,566488,268848,135187,12249,296931,40472,83433,372735,29380,64773,10566,121292,286349,27943,11729,117095,128108,56182,101370,5555
1979/8/1,122445,16582,54390,61596,696620,66847,78910,19408,21446,242958,120105,23699,24206,293531,177403,59814,36631,90303,199655,123840,33117,122578,152769,341674,89480,57533,113522,19270,23015,20212,13805,246532,37070,572435,267876,137358,12162,300170,40571,83750,377042,29342,65771,10624,122270,286132,28577,11777,117339,129226,57410,102930,5764
1979/9/1,123522,16654,55429,61527,700770,67863,79484,19607,21147,241529,120694,23162,24625,305103,185726,61277,37100,91722,199552,125152,33301,122577,152260,354692,92162,59333,117839,19290,23183,20135,14447,247366,37581,577658,266075,140027,12234,303144,40644,83898,381811,29389,67525,10805,122753,285993,28965,11889,117724,130991,58466,105077,5970
1979/10/1,124230,16567,57135,61129,703129,67803,80047,19745,20921,239845,122273,22659,25113,319586,192845,62660,37416,93339,199584,124813,33361,121945,151742,368934,95596,61127,122000,19340,23098,19967,15056,246170,37854,579595,263392,142243,12386,304816,40429,83181,385211,29573,69835,11056,122966,287243,29313,12007,117468,132324,59283,107606,6224
1979/11/1,124544,16374,59242,60590,703118,66592,80363,19699,20728,237751,124773,22153,25634,334314,198197,63504,37693,95268,199852,123020,33222,120981,150891,383298,99484,62508,125863,19486,22816,19839,15510,242738,37868,576827,260048,143562,12522,305541,39976,81540,386598,29851,72199,11306,123207,291167,29886,12086,116458,132832,60084,110261,6514
1979/12/1,125073,16227,61793,60525,703953,65413,80614,19534,20655,236326,128677,21641,26334,348539,202940,64106,38377,98007,201424,120924,33089,120660,150200,399914,103383,63711,129951,19832,22538,19943,15886,238693,37870,572261,257397,144483,12588,308506,39697,80391,387609,30181,74466,11612,123863,298666,30845,12156,115461,132884,61239,114201,6826
1980/1/1,126478,16256,65033,61454,710003,65703,81161,19409,20821,236789,134378,21197,27411,363022,209698,65300,39940,102271,205485,119475,33257,122108,150455,421956,107168,65178,135185,20375,22630,20438,16365,235887,38180,569486,255938,146311,12626,317678,40100,81503,391163,30648,76961,12071,125315,310036,32195,12311,115502,133646,63006,121044,7151
1980/2/1,129316,16552,69394,63609,724322,68376,82395,19488,21265,239535,141824,20891,28926,379663,220554,67811,42539,108350,212516,118954,33956,125957,152432,451292,111114,67187,142249,21083,23399,21403,17143,236089,38937,571355,255716,151315,12775,335471,41493,86050,399782,31274,80100,12759,128196,324176,33850,12673,117513,136432,65508,131286,7472
1980/3/1,133891,17130,74852,66866,747493,73601,84508,19877,21942,244304,150528,20795,30743,400392,235641,72156,46027,115834,222217,119111,35213,131784,156359,486289,115310,69983,151027,21920,24924,22862,18310,240128,40027,578741,256621,160795,13156,361389,43862,93750,414726,32123,83993,13691,132986,339183,35692,13288,121796,141644,68913,144389,7798
1980/4/1,139605,17873,80612,70574,775699,80719,87171,20544,22744,250015,159360,20984,32532,423935,252863,78089,49894,123886,233334,119319,36816,138186,161360,521596,119494,73137,160285,22765,26941,24669,19766,246817,41231,588955,257732,173418,13781,391766,46786,102978,434116,33222,88208,14741,139184,352205,37495,14057,127604,148258,73020,158552,8102
1980/5/1,145569,18571,85743,74119,803762,88524,89870,21340,23543,255581,167014,21463,33957,447468,268849,84666,53409,131705,244450,119787,38415,143995,166355,551861,123327,76098,168852,23520,29038,26554,21290,254467,42398,598905,258481,186559,14560,421788,49736,111708,453878,34430,92288,15722,145971,361096,39099,14859,133611,154972,77203,171286,8388
1980/6/1,150939,19058,89599,77064,827326,95362,92175,22072,24267,260425,172381,22010,34846,468594,280201,90671,56044,138652,254506,120915,39674,148335,170475,573335,126398,78639,175744,24123,30856,28183,22580,261423,43458,606152,258856,197460,15332,446705,65299,118158,469696,35538,95907,16484,152404,365708,40501,15575,138364,160760,80836,180347,8741
1980/7/1,154992,19207,91561,79103,842028,99634,93688,22542,24874,263910,174477,22388,35110,484819,284318,94710,57496,143991,262326,122754,40323,150584,172902,583300,128176,80711,179970,24537,32087,29352,23372,266234,44306,608862,258885,203833,15908,462716,70196,121224,477728,36284,98786,16918,157302,367261,41642,16069,140581,164794,83383,184317,9177
1980/8/1,157359,19060,90997,80180,846142,100704,94199,22619,25319,265570,172626,22597,34772,494554,280459,96043,57699,147298,266849,125399,40306,150667,173301,581330,128340,82312,181367,24757,32578,30084,23588,268410,44897,606536,258561,204930,16186,468899,70500,120661,476094,36447,100660,17056,160131,367311,42474,16240,139780,166476,84670,201618,9644
1980/9/1,158467,18754,88102,80576,842515,99372,93984,22393,25592,266090,168015,22697,34021,498274,271071,95000,56967,148585,268063,128677,39813,149239,172300,571016,127086,83470,180840,24849,32406,30530,23337,268639,45246,601578,258392,201764,16185,468284,68319,118013,466552,36025,101566,17056,161439,366772,43009,16104,137107,166304,85014,201915,10052
1980/10/1,159222,18427,84109,80864,836479,97227,93653,22125,25779,267144,162886,22735,33122,498440,260261,92727,55870,148208,267045,132459,39220,147461,171137,558637,125244,84531,179710,24883,31891,30901,22891,268331,45485,598345,259647,196271,16031,466031,64702,115995,454221,35277,102124,17089,162686,366437,43275,15798,134611,165855,84989,197467,10366
1980/11/1,160126,18095,80286,81362,831681,95326,93581,21950,25904,269509,158903,22732,32216,497103,251491,90386,54824,146684,264848,136501,38658,145865,170620,548282,123436,85566,178824,24792,31314,31289,22478,268600,45562,599013,262809,190863,15863,464832,60369,116047,443349,34512,102718,17183,164825,365732,43229,15441,133646,166124,84909,193058,10609
1980/12/1,161406,17709,77371,82110,829210,93773,93853,21907,25943,273073,156853,22722,31358,495243,246431,88566,53946,144598,262199,140186,38030,144553,170978,540251,121974,86392,178476,24588,30787,31710,22214,269693,45292,602489,267138,186980,15755,464561,56039,117779,436452,33962,103350,17248,167964,364267,42929,15102,134722,167415,85217,189380,10764
1981/1/1,163280,17340,75486,83214,829608,92741,94484,21982,25936,277779,156899,22745,30667,493126,244753,87521,53246,142509,259872,143289,37443,143775,172295,533810,121232,86777,178585,24423,30371,32135,22148,271396,44689,607598,272075,185143,15716,464590,52361,120403,434905,33720,104154,17215,172128,363279,42527,14847,137837,169706,86233,186446,10806
1981/2/1,165643,17044,74392,84519,831802,92081,95312,22081,25965,283364,158278,22814,30287,489707,245011,87240,52582,140663,258138,146087,36914,143634,174339,527836,120944,86682,178463,24325,30077,32450,22197,272943,43877,612443,276599,183761,15686,463948,49640,122897,437350,33757,105148,17031,176513,363513,42140,14683,142115,172426,87436,184125,10729
1981/3/1,167853,16878,73721,85713,832942,91048,96045,22109,26055,288819,159611,22854,30221,483798,245488,87303,51687,139238,256489,148926,36345,143948,176588,521074,120460,86207,177234,24253,29848,32521,22268,273143,43008,614051,278867,180967,15571,461943,47844,124438,440481,33953,106186,16655,179713,364902,41823,14563,146200,175114,87877,181817,10552
1981/4/1,169679,16896,73335,86617,832256,89189,96595,22023,26202,293484,160020,22772,30430,476460,245141,87503,50455,138223,254699,151739,35769,144754,178809,514008,119478,85720,174901,24263,29725,32336,22347,271812,42106,611510,278021,176576,15363,459603,46841,124913,442216,34190,107327,16188,181315,367696,41639,14488,149146,177620,87039,179162,10330
1981/5/1,171383,17135,73191,87045,831634,86571,96995,21846,26397,297486,159711,22591,30864,469412,244130,87986,49156,137592,253114,153713,35317,146031,180971,507604,118225,85542,172368,24406,29827,32062,22464,269247,41177,605204,274414,171151,15122,458928,46451,124673,442437,34454,108770,15752,181837,371468,41635,14459,150726,179854,84979,176586,10102
1981/6/1,173452,17556,73244,87092,834322,83795,97366,21677,26596,301438,159626,22464,31410,464293,243299,88903,48124,137544,252299,154626,35167,147865,183256,503410,117424,85906,170740,24707,30230,31937,22726,266077,40342,596845,269505,165751,14908,462074,46553,124323,442385,34737,110860,15472,182220,375201,41799,14478,151512,182046,82118,175253,9917
1981/7/1,176677,18112,73981,87247,845226,81788,98049,21663,26836,306782,161306,22511,32073,463223,244418,90621,47706,138695,253473,155266,35482,150605,186294,504661,117969,87150,171219,25227,30996,32227,23260,263959,39793,590396,265857,161748,14791,471460,47306,125007,444459,35208,114254,15436,183767,378585,42243,14596,152815,184866,79299,176410,9837
1981/8/1,181514,18701,76203,87858,866696,81148,99238,21896,27110,313832,165636,22753,32914,466949,248979,93326,48134,141271,257636,156376,36226,154335,190461,513435,120118,89217,174233,25900,32033,33003,24084,264231,39697,588943,265408,160783,14800,486733,48875,127349,450782,36005,118868,15578,187137,381486,42982,14859,155458,188916,77304,180405,9876
1981/9/1,187765,19197,79916,88968,897077,82021,100846,22383,27393,321911,171853,23192,34013,474940,256898,96685,49386,144910,264744,158535,37236,158917,195592,528747,123511,91930,179261,26614,33175,34187,25183,267466,40098,593259,268066,163438,14911,505142,51312,130835,461955,37076,124021,15746,192150,384588,43872,15248,159592,194473,76608,186454,10012
1981/10/1,194977,19565,84631,90461,934225,84461,102757,23030,27722,330462,178587,23861,35411,486582,267475,100385,51340,149175,274378,162023,38440,164146,201458,549056,127736,94937,185504,27396,34341,35655,26486,273709,40902,603106,272813,210982,15084,524849,54527,134828,477367,38322,129099,15873,198734,389437,44846,15681,165189,201173,77381,192983,10132
1981/11/1,202545,19833,90007,92120,975514,88229,104811,23718,28154,339314,184787,24706,37072,501001,279586,104221,53776,153716,285697,166339,39776,169701,207667,572463,132488,97939,191771,28316,35407,37342,27897,281959,41950,617138,278334,231998,15267,544787,58161,139024,495493,39730,133911,15986,206639,397111,45867,16160,171701,208328,79351,199705,10200
1981/12/1,209754,20053,95916,93622,1017756,92637,106742,24316,28717,348452,189812,25589,38895,517043,291235,107842,56410,158234,297611,170721,41139,175047,213665,595941,137570,100899,196695,29319,36385,39169,29338,290881,43268,632936,283411,244654,15462,563712,61686,142937,513942,41321,138546,16102,214980,407630,46856,16683,178175,215165,81910,207260,10331
1982/1/1,215903,20223,102097,94561,1056846,96760,108261,24714,29343,357169,193331,26366,40637,533512,300194,110852,59078,162358,308797,174540,42252,179321,218785,615328,142399,103746,199572,30320,37365,40978,30689,298903,44774,646950,287103,252913,15677,579805,64626,145933,529593,43003,142797,16227,222380,419620,47696,17144,183586,220850,84596,215253,10532
1982/2/1,221066,20377,108354,94880,1092597,100457,109384,24886,29993,365295,195795,27025,42026,551371,305643,113280,61832,166342,319173,177474,43127,181946,222958,628789,147039,106502,201225,31283,38454,42692,31914,305205,46438,657597,289536,258379,15926,593220,67227,147597,542061,44625,146765,16421,228468,432930,48427,17504,187613,225225,87694,223307,10847
1982/3/1,225734,20540,114522,94796,1126322,104095,110175,24852,30612,372942,197656,27598,42931,571381,307814,115124,64874,170244,329013,179499,43898,182956,226335,636611,152243,109184,202610,32136,39686,44273,32960,309414,48292,664899,291421,262442,16214,604919,70007,147992,552770,46027,150644,16703,233548,447430,49154,17789,190451,228528,91435,231215,11417
1982/4/1,230204,20707,120586,94585,1158103,107913,110634,24689,31120,380198,199089,28090,43313,593033,307670,116279,68387,173888,338181,181199,44453,182704,229033,640170,158193,111819,204248,32777,40936,45712,33731,311601,50310,669580,293360,265233,16512,615810,73353,147564,562737,47119,154411,17040,237699,462360,50046,17992,192465,230989,95760,238716,12240
1982/5/1,234451,20861,126518,94465,1187432,112180,110795,24472,31467,386885,200147,28445,43288,614962,306457,116823,72186,177063,346597,183281,44717,181556,231093,641856,164435,114385,206253,33151,42015,46984,34185,312414,52352,673182,295387,267079,16806,626043,77624,146824,572538,47891,157838,17430,241043,477588,51172,18085,194108,232818,100511,245209,13252
1982/6/1,238619,21011,132309,94510,1214905,117309,110751,24283,31699,393189,201273,28575,43161,636113,306120,117174,75922,179703,354767,186010,44772,180073,232670,645270,170617,116793,208884,33318,42810,48127,34354,313135,54174,678182,297511,269143,17131,636037,83081,146507,583195,48422,160611,17857,244196,493136,52538,18093,195774,234493,105582,249894,14352
1982/7/1,242924,21197,138087,94878,1242401,123511,110671,24211,31924,400024,203363,28523,43236,656463,308097,117799,79338,182315,363545,189403,44756,178840,234146,653465,176513,118906,212785,33432,43379,49243,34349,314939,55624,686663,299876,272178,17513,646864,89823,147235,596382,48870,162725,18291,248380,509833,54137,18058,197969,236605,110964,253225,15441
1982/8/1,247343,21475,143795,95817,1271017,130320,110700,24281,32298,408495,207098,28372,43730,675911,312506,119102,82177,185629,373387,193413,44835,178248,235739,667079,181841,120871,218053,33670,43976,50439,34270,318305,56707,699381,302686,275737,17946,659508,97444,149304,612664,49425,164598,18749,254286,528908,55978,18031,201100,239287,116615,256692,16521
