date,Solar,Wind
2020/8/6,33555,20979
2020/8/7,32102,33731
2020/8/8,30774,24276
2020/8/9,27159,37622
2020/8/10,25281,31051
2020/8/11,26353,21236
2020/8/12,21188,46023
2020/8/13,18520,52848
2020/8/14,27718,39107
2020/8/15,29213,12580
2020/8/16,23938,36277
2020/8/17,22675,51022
2020/8/18,26077,28719
2020/8/19,28392,70178
2020/8/20,28224,81309
2020/8/21,23455,149078
2020/8/22,26219,144315
2020/8/23,27057,105253
2020/8/24,29036,46611
2020/8/25,29668,157814
2020/8/26,26616,171650
2020/8/27,28750,74908
2020/8/28,14832,126292
2020/8/29,16588,74683
2020/8/30,23220,83963
2020/8/31,26051,46182
2020/9/1,27943,34104
2020/9/2,30267,26028
2020/9/3,30119,46842
2020/9/4,30423,33865
2020/9/5,27031,51205
2020/9/6,23498,38699
2020/9/7,28248,41423
2020/9/8,28724,22104
2020/9/9,21665,25171
2020/9/10,20404,30881
2020/9/11,25112,21944
2020/9/12,28425,23983
2020/9/13,28707,21535
2020/9/14,27476,48411
2020/9/15,23178,37258
2020/9/16,25453,42375
2020/9/17,26267,140174
2020/9/18,16889,128130
2020/9/19,16039,78003
2020/9/20,15876,28920
2020/9/21,15924,17235
2020/9/22,13418,21460
2020/9/23,20770,106020
2020/9/24,13857,167475
2020/9/25,15620,259897
2020/9/26,14394,241673
2020/9/27,13008,227569
2020/9/28,17898,97378
2020/9/29,17932,34870
2020/9/30,23356,49331
2020/10/1,12220,125643
2020/10/2,6624,156672
2020/10/3,10684,114750
2020/10/4,12372,241726
2020/10/5,15191,236540
2020/10/6,6913,259646
2020/10/7,17414,154289
2020/10/8,18113,171401
2020/10/9,14796,65963
2020/10/10,18513,81408
2020/10/11,16360,91034
2020/10/12,18367,55758
2020/10/13,13584,80983
2020/10/14,14755,91685
2020/10/15,15353,108360
2020/10/16,14260,57679
2020/10/17,19698,14949
2020/10/18,22601,14795
2020/10/19,18474,105447
2020/10/20,6983,221662
2020/10/21,13565,257497
2020/10/22,7174,103391
2020/10/23,8131,80908
2020/10/24,15706,219937
2020/10/25,7134,186984
2020/10/26,12138,174180
2020/10/27,12141,200463
2020/10/28,11872,233084
2020/10/29,13711,178236
2020/10/30,18350,115635
2020/10/31,17557,142551
2020/11/1,11004,238159
2020/11/2,10914,230364
2020/11/3,6971,116857
2020/11/4,14393,56121
2020/11/5,17634,127425
2020/11/6,13741,145529
2020/11/7,6488,119696
2020/11/8,11813,75185
2020/11/9,11530,44964
2020/11/10,12063,14817
2020/11/11,15010,64535
2020/11/12,13392,100595
2020/11/13,10710,118340
2020/11/14,13741,180904
2020/11/15,6016,297435
2020/11/16,11024,171623
2020/11/17,15015,75940
2020/11/18,16349,135682
2020/11/19,12082,172057
2020/11/20,13820,60508
2020/11/21,15413,69766
2020/11/22,15599,28443
2020/11/23,14327,12828
2020/11/24,11889,79252
2020/11/25,12317,107923
2020/11/26,11463,49105
2020/11/27,9037,48018
2020/11/28,8705,93932
2020/11/29,13200,77595
2020/11/30,12442,58889
2020/12/1,4432,170732
2020/12/2,7502,66737
2020/12/3,7015,190145
2020/12/4,3562,185230
2020/12/5,5591,128162
2020/12/6,8164,56867
2020/12/7,5704,43501
2020/12/8,6541,56165
2020/12/9,7952,65509
2020/12/10,4345,113147
2020/12/11,3392,167601
2020/12/12,7956,132681
2020/12/13,7916,147688
2020/12/14,4805,174011
2020/12/15,4341,93259
2020/12/16,7053,149463
2020/12/17,5456,112900
2020/12/18,7247,169992
2020/12/19,3905,214928
2020/12/20,6509,108693
2020/12/21,4195,245367
2020/12/22,8341,212625
2020/12/23,2682,226785
2020/12/24,5503,233176
2020/12/25,8984,138949
2020/12/26,9981,146080
2020/12/27,3373,263305
2020/12/28,5404,188251
2020/12/29,6500,104159
2020/12/30,7964,84408
2020/12/31,4469,84139
2021/1/1,6020,24258
2021/1/2,4332,37662
2021/1/3,7182,40648
2021/1/4,4682,48904
2021/1/5,4115,45136
2021/1/6,6928,19918
2021/1/7,9703,18609
2021/1/8,11753,21954
2021/1/9,7246,95428
2021/1/10,9607,90548
2021/1/11,12009,97113
2021/1/12,5540,225321
2021/1/13,7698,145706
2021/1/14,7859,203667
2021/1/15,8564,122417
2021/1/16,8453,104538
2021/1/17,10790,104605
2021/1/18,14675,87481
2021/1/19,15046,233976
2021/1/20,5744,306164
2021/1/21,4603,273574
2021/1/22,4845,115699
2021/1/23,5597,136189
2021/1/24,11315,129797
2021/1/25,10643,102728
2021/1/26,12513,104323
2021/1/27,7235,113697
2021/1/28,7693,252811
2021/1/29,10060,293834
2021/1/30,5012,156108
2021/1/31,9177,100567
2021/2/1,5990,120944
2021/2/2,9486,226538
2021/2/3,8568,240533
2021/2/4,6572,73951
2021/2/5,7573,47482
2021/2/6,3260,76994
2021/2/7,8970,97985
2021/2/8,7706,32594
2021/2/9,7444,89552
2021/2/10,12796,150627
2021/2/11,15277,143395
2021/2/12,4736,200423
2021/2/13,12760,180562
2021/2/14,14980,196321
2021/2/15,16116,214307
2021/2/16,11127,209734
2021/2/17,20297,177543
2021/2/18,7183,218691
2021/2/19,15237,147083
2021/2/20,16420,268974
2021/2/21,14336,184342
2021/2/22,5057,126890
2021/2/23,19149,179226
2021/2/24,21421,152196
2021/2/25,19078,71362
2021/2/26,15409,76293
2021/2/27,22558,166688
2021/2/28,22368,153046
2021/3/1,24516,90824
2021/3/2,15810,66405
2021/3/3,13663,29405
2021/3/4,17287,38758
2021/3/5,18644,118969
2021/3/6,18400,124199
2021/3/7,13571,46624
2021/3/8,20303,56315
2021/3/9,25503,46164
2021/3/10,25756,170848
2021/3/11,13960,325682
2021/3/12,20354,282776
2021/3/13,18465,326316
2021/3/14,23263,235351
2021/3/15,14823,202898
2021/3/16,21066,103070
2021/3/17,22002,192304
2021/3/18,17813,83301
2021/3/19,15579,180030
2021/3/20,32313,109863
2021/3/21,25317,114658
2021/3/22,28865,78243
2021/3/23,33306,30669
2021/3/24,33496,36497
2021/3/25,23755,40361
2021/3/26,21375,146960
2021/3/27,29229,154465
2021/3/28,32653,73239
2021/3/29,34156,59461
2021/3/30,33225,47543
2021/3/31,31891,35493
2021/4/1,32082,70358
2021/4/2,32153,194485
2021/4/3,34161,217911
2021/4/4,34379,79106
2021/4/5,31713,142065
2021/4/6,33074,129309
2021/4/7,36628,102238
2021/4/8,36188,18051
2021/4/9,22287,96320
2021/4/10,13902,107246
2021/4/11,13427,125184
2021/4/12,31799,56635
2021/4/13,35970,62840
2021/4/14,36052,100276
2021/4/15,36392,110657
2021/4/16,31749,115883
2021/4/17,25488,118697
2021/4/18,31721,59087
2021/4/19,35215,19918
2021/4/20,29458,16218
2021/4/21,25878,62961
2021/4/22,37518,123665
2021/4/23,39974,119575
2021/4/24,38697,141267
2021/4/25,23445,203176
2021/4/26,17501,178275
2021/4/27,22545,50668
2021/4/28,17888,41084
2021/4/29,17692,46546
2021/4/30,19326,23611
2021/5/1,18037,47750
2021/5/2,33362,33970
2021/5/3,40548,93500
2021/5/4,28941,268358
2021/5/5,31818,159947
2021/5/6,19649,99848
2021/5/7,30490,51869
2021/5/8,38357,134657
2021/5/9,19115,195379
2021/5/10,21382,140502
2021/5/11,26112,83920
2021/5/12,29273,66163
2021/5/13,28524,84008
2021/5/14,31769,87717
2021/5/15,16098,141588
2021/5/16,18526,155185
2021/5/17,32244,243107
2021/5/18,23601,82501
2021/5/19,33802,109280
2021/5/20,39514,112635
2021/5/21,21273,254743
2021/5/22,27212,218204
2021/5/23,30560,145268
2021/5/24,25041,219787
2021/5/25,34540,217358
2021/5/26,33372,133091
2021/5/27,40689,24354
2021/5/28,38817,44020
2021/5/29,33399,70326
2021/5/30,35192,87354
2021/5/31,40537,81357
2021/6/1,30771,91163
2021/6/2,27155,69025
2021/6/3,29712,28860
2021/6/4,19822,41135
2021/6/5,35650,49442
2021/6/6,33899,37695
2021/6/7,34018,26512
2021/6/8,39284,22300
2021/6/9,39011,23985
2021/6/10,39844,23815
2021/6/11,38720,32363
2021/6/12,34505,37177
2021/6/13,38417,46239
2021/6/14,42965,34351
2021/6/15,41568,21178
2021/6/16,34872,28478
2021/6/17,20492,74270
2021/6/18,34226,98378
2021/6/19,27508,49269
2021/6/20,25390,55839
2021/6/21,32904,51159
2021/6/22,28048,90124
2021/6/23,24354,52935
2021/6/24,27849,42760
2021/6/25,38688,31840
2021/6/26,37708,16618
2021/6/27,21043,44020
2021/6/28,26578,31946
2021/6/29,30108,40038
2021/6/30,31846,48632
2021/7/1,36192,18337
2021/7/2,37755,10592
2021/7/3,26237,36180
2021/7/4,22742,59572
2021/7/5,36554,86872
2021/7/6,23559,178067
2021/7/7,29770,53274
2021/7/8,31433,37709
2021/7/9,38612,17030
2021/7/10,33113,23844
2021/7/11,40590,14583
2021/7/12,20255,57306
2021/7/13,24019,95595
2021/7/14,23265,135251
2021/7/15,28590,152016
2021/7/16,32663,90799
2021/7/17,40068,74170
2021/7/18,41066,117752
2021/7/19,42567,92686
2021/7/20,41640,57316
2021/7/21,38817,42591
2021/7/22,41506,49166
2021/7/23,31709,90851
2021/7/24,29766,79895
2021/7/25,31068,69730
2021/7/26,33500,51712
2021/7/27,26035,56541
2021/7/28,29660,109455
2021/7/29,35470,73636
2021/7/30,28052,144346
2021/7/31,21875,78021
2021/8/1,33113,55207
2021/8/2,35753,25710
2021/8/3,22864,27371
2021/8/4,19691,25280
2021/8/5,31115,93687
2021/8/6,28315,156698
2021/8/7,24019,152077
2021/8/8,27851,124659
2021/8/9,35704,71678
2021/8/10,38454,21394
2021/8/11,40427,9380
2021/8/12,33115,13730
2021/8/13,35839,23726
2021/8/14,39562,17915
2021/8/15,29902,68356
2021/8/16,28932,125362
2021/8/17,29926,72793
2021/8/18,25136,53411
2021/8/19,25475,34670
2021/8/20,38645,12928
2021/8/21,34411,36907
2021/8/22,28285,90898
2021/8/23,34776,83843
2021/8/24,32206,150899
2021/8/25,38865,106519
2021/8/26,37746,80136
2021/8/27,36635,80064
2021/8/28,38018,99592
2021/8/29,34768,83189
2021/8/30,34006,89232
2021/8/31,36315,98611
2021/9/1,34664,137272
2021/9/2,23438,116718
2021/9/3,23003,37375
2021/9/4,30758,15808
2021/9/5,36805,11486
2021/9/6,36737,34569
2021/9/7,32568,90849
2021/9/8,26689,91944
2021/9/9,17137,58702
2021/9/10,22390,46460
2021/9/11,33321,27913
2021/9/12,36005,15351
2021/9/13,30039,42687
2021/9/14,17833,59787
2021/9/15,18518,42212
2021/9/16,18312,15388
2021/9/17,31150,16650
2021/9/18,22060,35408
2021/9/19,23486,67813
2021/9/20,23364,49677
2021/9/21,26092,61734
2021/9/22,34072,37586
2021/9/23,34420,25895
2021/9/24,31453,17372
2021/9/25,22191,31813
2021/9/26,20966,61623
2021/9/27,19848,129703
2021/9/28,22855,54923
2021/9/29,26166,146959
2021/9/30,32929,65092
2021/10/1,24486,130523
2021/10/2,22236,201593
2021/10/3,9290,186231
2021/10/4,18589,126851
2021/10/5,15401,219707
2021/10/6,27906,169912
2021/10/7,31304,45117
2021/10/8,32298,90801
2021/10/9,26598,62505
2021/10/10,29174,45973
2021/10/11,29526,65295
2021/10/12,28444,68184
2021/10/13,28839,50992
2021/10/14,32122,33751
2021/10/15,26875,26003
2021/10/16,28703,25080
2021/10/17,27018,38527
2021/10/18,23814,73799
2021/10/19,24529,165450
2021/10/20,12876,288276
2021/10/21,18672,222710
2021/10/22,22412,69418
2021/10/23,28979,39658
2021/10/24,28877,79291
2021/10/25,18992,58507
2021/10/26,20000,68496
2021/10/27,25596,54160
2021/10/28,24540,153465
2021/10/29,11561,228882
2021/10/30,8022,166567
2021/10/31,12555,226406
2021/11/1,16285,180212
2021/11/2,14758,81996
2021/11/3,12353,74707
2021/11/4,16625,76443
2021/11/5,17406,55123
2021/11/6,21931,80167
2021/11/7,12544,114421
2021/11/8,18272,45615
2021/11/9,20154,33691
2021/11/10,12968,16112
2021/11/11,16019,17415
2021/11/12,13966,69367
2021/11/13,8693,94520
2021/11/14,8326,76183
2021/11/15,4858,66511
2021/11/16,7987,21332
2021/11/17,7659,41607
2021/11/18,15681,32611
2021/11/19,17668,25638
2021/11/20,14228,16691
2021/11/21,5962,56647
2021/11/22,10799,219051
2021/11/23,14889,178290
2021/11/24,6889,72762
2021/11/25,5333,59184
2021/11/26,8865,164140
2021/11/27,8490,167155
2021/11/28,9806,183109
2021/11/29,11282,78271
2021/11/30,14285,249399
2021/12/1,6661,253616
2021/12/2,12412,150864
2021/12/3,10352,194075
2021/12/4,6009,241576
2021/12/5,10139,161824
2021/12/6,9952,137662
2021/12/7,6367,225087
2021/12/8,6900,166284
2021/12/9,9332,157646
2021/12/10,5352,308141
2021/12/11,11397,112444
2021/12/12,10043,90872
2021/12/13,13234,32759
2021/12/14,13841,17027
2021/12/15,12239,35390
2021/12/16,13266,80236
2021/12/17,15445,163975
2021/12/18,16635,128606
2021/12/19,12780,71471
2021/12/20,11501,74722
2021/12/21,13649,55009
2021/12/22,12497,84344
2021/12/23,10636,160422
2021/12/24,5750,80580
2021/12/25,8375,34944
2021/12/26,8558,63659
2021/12/27,5839,194237
2021/12/28,4481,317467
2021/12/29,6473,243702
2021/12/30,12965,171550
2021/12/31,16296,107189
2022/1/1,14993,100361
2022/1/2,8850,244586
2022/1/3,10985,222857
2022/1/4,6050,170076
2022/1/5,14466,136679
2022/1/6,17337,88956
2022/1/7,12489,231413
2022/1/8,9214,271854
2022/1/9,6252,166618
2022/1/10,7850,36710
2022/1/11,17382,57866
2022/1/12,18205,55454
2022/1/13,17401,57674
2022/1/14,19132,17963
2022/1/15,19589,19433
2022/1/16,16015,55049
2022/1/17,13002,33987
2022/1/18,12750,67263
2022/1/19,6829,70485
2022/1/20,12317,97825
2022/1/21,19752,99524
2022/1/22,19001,57179
2022/1/23,19063,62205
2022/1/24,21859,43219
2022/1/25,19512,6266
2022/1/26,18479,18015
2022/1/27,16296,85166
2022/1/28,14279,47765
2022/1/29,12525,178019
2022/1/30,14746,61723
2022/1/31,13228,278634
2022/2/1,14010,229982
2022/2/2,13115,136058
2022/2/3,11813,64129
2022/2/4,11400,180415
2022/2/5,24756,148111
2022/2/6,13454,360969
2022/2/7,21805,142186
2022/2/8,26611,87076
2022/2/9,26616,55536
2022/2/10,21379,91462
2022/2/11,23596,64275
2022/2/12,25039,108516
2022/2/13,22494,278627
2022/2/14,10894,227789
2022/2/15,18345,228265
2022/2/16,8454,364175
2022/2/17,16943,295137
2022/2/18,19923,298114
2022/2/19,23465,265272
2022/2/20,18289,332886
2022/2/21,19365,346292
2022/2/22,22556,210156
2022/2/23,29008,45650
2022/2/24,17157,201408
2022/2/25,30982,126729
2022/2/26,37509,130828
2022/2/27,30703,164796
2022/2/28,34910,79428
2022/3/1,29131,46812
2022/3/2,14034,44749
2022/3/3,23230,24231
2022/3/4,20574,66140
2022/3/5,25345,61613
2022/3/6,29841,123228
2022/3/7,37520,158810
2022/3/8,24034,143791
2022/3/9,32418,106607
2022/3/10,22988,120195
2022/3/11,14009,265632
2022/3/12,17677,185344
2022/3/13,13497,195504
2022/3/14,20818,98222
2022/3/15,17098,96226
2022/3/16,13793,89445
2022/3/17,10230,121669
2022/3/18,21006,247051
2022/3/19,29402,231609
2022/3/20,20413,89076
2022/3/21,32061,91224
2022/3/22,38217,102123
2022/3/23,42107,62122
2022/3/24,41710,62757
2022/3/25,37941,116494
2022/3/26,41785,177652
2022/3/27,36335,75636
2022/3/28,34145,40164
2022/3/29,21667,48436
2022/3/30,13434,37908
2022/3/31,25540,167971
2022/4/1,25801,254355
2022/4/2,27184,209435
2022/4/3,27649,82978
2022/4/4,43421,155026
2022/4/5,33450,152403
2022/4/6,19521,208950
2022/4/7,19390,357489
2022/4/8,22868,185521
2022/4/9,39719,82036
2022/4/10,48912,56183
2022/4/11,36361,204008
2022/4/12,27814,135738
2022/4/13,25851,24819
2022/4/14,43315,25116
2022/4/15,43634,49926
2022/4/16,49062,128878
2022/4/17,49387,110882
2022/4/18,40191,55872
2022/4/19,31657,56851
2022/4/20,20025,92959
2022/4/21,27431,91441
2022/4/22,39729,94530
2022/4/23,16364,141398
2022/4/24,23659,80429
2022/4/25,37493,65891
2022/4/26,47422,64449
2022/4/27,41009,126513
2022/4/28,38364,106018
2022/4/29,40274,70400
2022/4/30,43615,92642
2022/5/1,45280,47005
2022/5/2,41056,58450
2022/5/3,36035,74987
2022/5/4,36877,39606
2022/5/5,37304,48953
2022/5/6,40153,70104
2022/5/7,44779,67645
2022/5/8,42213,80433
2022/5/9,49864,32292
2022/5/10,49421,58389
2022/5/11,51551,130627
2022/5/12,37591,46031
2022/5/13,44559,40731
2022/5/14,49126,31573
2022/5/15,44672,95655
2022/5/16,47068,66426
2022/5/17,51819,46594
2022/5/18,49881,42185
2022/5/19,42259,81490
2022/5/20,41557,110363
2022/5/21,48994,31597
2022/5/22,39971,44766
2022/5/23,28397,118951
2022/5/24,34704,101019
2022/5/25,38836,107869
2022/5/26,34401,89746
2022/5/27,42995,73754
2022/5/28,53016,97827
2022/5/29,54138,102443
2022/5/30,48308,39986
2022/5/31,44364,39052
2022/6/1,49864,36207
2022/6/2,45122,66184
2022/6/3,38016,53845
2022/6/4,38508,56436
2022/6/5,35724,79961
2022/6/6,42116,61988
2022/6/7,42829,90788
2022/6/8,26607,126392
2022/6/9,44894,94265
2022/6/10,53356,44930
2022/6/11,52326,22708
2022/6/12,46203,60152
2022/6/13,51224,56397
2022/6/14,51554,56910
2022/6/15,49769,43839
2022/6/16,50092,29707
2022/6/17,52127,38801
2022/6/18,51439,66940
2022/6/19,48113,164227
2022/6/20,41891,90517
2022/6/21,34399,55633
2022/6/22,35275,57133
2022/6/23,37952,32174
2022/6/24,38101,94770
2022/6/25,33133,64322
2022/6/26,28689,32660
2022/6/27,36661,46845
2022/6/28,50423,38694
2022/6/29,47979,28417
2022/6/30,27103,40825
2022/7/1,49512,43564
2022/7/2,56184,23469
2022/7/3,51450,38797
2022/7/4,43983,45487
2022/7/5,53910,58720
2022/7/6,52032,65991
2022/7/7,48997,95657
2022/7/8,57060,78086
2022/7/9,55457,82380
2022/7/10,56132,95375
2022/7/11,55023,79602
2022/7/12,54840,40155
2022/7/13,52487,27715
2022/7/14,53263,60490
2022/7/15,53558,71342
2022/7/16,54132,74115
2022/7/17,52821,83134
2022/7/18,51161,66365
2022/7/19,47337,118225
2022/7/20,38895,58005
2022/7/21,49930,31309
2022/7/22,39959,46177
2022/7/23,46001,27659
2022/7/24,53108,26089
2022/7/25,38304,133338
2022/7/26,44974,55925
2022/7/27,50362,55071
2022/7/28,45451,39531
2022/7/29,35412,31138
2022/7/30,47326,37985
2022/7/31,51198,59343
2022/8/1,48752,27993
2022/8/2,52313,21632
2022/8/3,50250,19095
2022/8/4,45492,45221
2022/8/5,44233,96956
2022/8/6,52207,132482
2022/8/7,53843,132959
2022/8/8,53098,126712
2022/8/9,51061,129093
2022/8/10,50309,119811
2022/8/11,48641,100425
2022/8/12,49821,75821
2022/8/13,46532,66629
2022/8/14,27882,78840
2022/8/15,38469,60328
2022/8/16,36230,26784
2022/8/17,29090,31152
2022/8/18,33190,48533
2022/8/19,36617,78549
2022/8/20,44324,36883
2022/8/21,37948,25525
2022/8/22,37236,36330
2022/8/23,40395,20120
2022/8/24,47716,23590
2022/8/25,39270,67431
2022/8/26,38867,66822
2022/8/27,43580,56626
2022/8/28,47627,87017
2022/8/29,36884,93236
2022/8/30,37700,60881
2022/8/31,34796,57942
2022/9/1,41546,52529
2022/9/2,31209,36637
2022/9/3,33894,41821
2022/9/4,44387,53869
2022/9/5,41798,81719
2022/9/6,38315,69318
2022/9/7,27113,77666
2022/9/8,33681,139525
2022/9/9,32037,201651
2022/9/10,39364,88530
2022/9/11,45899,22652
2022/9/12,40266,53499
2022/9/13,23113,65079
2022/9/14,27535,57194
2022/9/15,35398,37764
2022/9/16,34978,84848
2022/9/17,45449,113857
2022/9/18,45314,90666
2022/9/19,44961,63911
2022/9/20,43274,50636
2022/9/21,43903,55688
2022/9/22,43495,23139
2022/9/23,22972,16165
2022/9/24,20393,42002
2022/9/25,29831,56145
2022/9/26,28295,179168
2022/9/27,25107,190503
2022/9/28,23323,99854
2022/9/29,23917,31596
2022/9/30,32662,88606
2022/10/1,20125,263546
2022/10/2,27819,118566
2022/10/3,31333,24998
2022/10/4,38350,28294
2022/10/5,34681,169914
2022/10/6,28455,36660
2022/10/7,32666,30746
2022/10/8,23377,42682
2022/10/9,33087,84342
2022/10/10,22163,66313
2022/10/11,22574,45173
2022/10/12,25964,13969
2022/10/13,16023,69260
2022/10/14,14834,123963
2022/10/15,25210,166241
2022/10/16,27308,97574
2022/10/17,19041,118517
2022/10/18,29121,55410
2022/10/19,20996,150610
2022/10/20,14988,140105
2022/10/21,12892,175599
2022/10/22,26054,102327
2022/10/23,15796,238038
2022/10/24,22811,254629
2022/10/25,18246,102773
2022/10/26,24546,127686
2022/10/27,17125,163315
2022/10/28,20648,132982
2022/10/29,19649,135404
2022/10/30,21193,72262
2022/10/31,16253,153145
2022/11/1,23668,271585
2022/11/2,26691,161266
2022/11/3,6821,239284
2022/11/4,16251,172352
2022/11/5,24427,100329
2022/11/6,20009,217317
2022/11/7,24392,253134
2022/11/8,11013,294126
2022/11/9,8725,160270
2022/11/10,20906,79822
2022/11/11,23942,76239
2022/11/12,22615,71522
2022/11/13,19329,44573
2022/11/14,7847,104386
2022/11/15,6622,210444
2022/11/16,18944,254038
2022/11/17,13965,291182
2022/11/18,15475,134953
2022/11/19,18329,64895
2022/11/20,16043,180630
2022/11/21,4683,219112
2022/11/22,13470,282612
2022/11/23,12722,250376
2022/11/24,14211,219724
2022/11/25,14134,105125
2022/11/26,14584,93326
2022/11/27,13007,162748
2022/11/28,8210,89077
2022/11/29,10485,37018
2022/11/30,12605,45621
2022/12/1,11000,88630
2022/12/2,7243,75425
2022/12/3,5909,134523
2022/12/4,9380,56679
2022/12/5,17042,22973
2022/12/6,11950,39393
2022/12/7,15261,45909
2022/12/8,6394,40568
2022/12/9,8434,54424
2022/12/10,14768,37540
2022/12/11,15064,44009
2022/12/12,8783,73108
2022/12/13,6074,108510
2022/12/14,8052,46545
2022/12/15,5493,132077
2022/12/16,13447,92289
2022/12/17,16586,62496
2022/12/18,13866,191469
2022/12/19,8923,317277
2022/12/20,4452,256486
2022/12/21,10661,198934
2022/12/22,7830,296141
2022/12/23,8551,280356
2022/12/24,13568,125518
2022/12/25,12435,157716
2022/12/26,9833,183225
2022/12/27,14245,134949
2022/12/28,14231,328030
2022/12/29,6621,266989
2022/12/30,6700,324609
2022/12/31,11289,369361
2023/1/1,9040,253043
2023/1/2,7477,155845
2023/1/3,12485,176238
2023/1/4,12902,341027
2023/1/5,11918,164814
2023/1/6,11306,169409
2023/1/7,10415,298324
2023/1/8,5620,278142
2023/1/9,13164,330812
2023/1/10,14832,269068
2023/1/11,10515,303653
2023/1/12,12749,375903
2023/1/13,14488,309775
2023/1/14,11736,328147
2023/1/15,13573,331665
2023/1/16,7630,298202
2023/1/17,7934,85794
2023/1/18,14958,98687
2023/1/19,11094,56561
2023/1/20,18126,82064
2023/1/21,19548,181056
2023/1/22,12608,118219
2023/1/23,7634,150291
2023/1/24,11079,125921
2023/1/25,8517,41637
2023/1/26,11304,101334
2023/1/27,11942,183740
2023/1/28,9062,118070
2023/1/29,19812,48992
2023/1/30,20273,127740
2023/1/31,18883,109325
2023/2/1,18360,186139
2023/2/2,23638,152942
2023/2/3,26826,143968
2023/2/4,20607,67544
2023/2/5,19609,179272
2023/2/6,29253,150913
2023/2/7,25272,153376
2023/2/8,33675,67029
2023/2/9,31246,20506
2023/2/10,33726,29748
2023/2/11,35037,45367
2023/2/12,34146,67618
2023/2/13,36388,59533
2023/2/14,34396,59499
2023/2/15,33456,78534
2023/2/16,30623,129557
2023/2/17,27293,182936
2023/2/18,29593,176658
2023/2/19,25496,102108
2023/2/20,35625,57284
2023/2/21,23602,31531
2023/2/22,10772,60396
2023/2/23,10633,74015
2023/2/24,19438,103493
2023/2/25,18702,149736
2023/2/26,37428,334904
2023/2/27,24009,308807
2023/2/28,26703,186590
2023/3/1,38976,180635
2023/3/2,29294,93461
2023/3/3,29360,107271
2023/3/4,35609,89996
2023/3/5,39601,31557
2023/3/6,27752,66428
2023/3/7,19211,171508
2023/3/8,16856,290038
2023/3/9,25810,335714
2023/3/10,21377,312785
2023/3/11,20399,93669
